datetime,day of week,total,place,angbutter,plain bread,jam,americano,croissant,caffe latte,tiramisu croissant,cacao deep,pain au chocolat,almond croissant,croque monsieur,mad garlic,milk tea,gateau chocolat,pandoro,cheese cake,lemon ade,orange pound,wiener,vanila latte,berry ade,tiramisu,merinque cookies,date,time,am_pm,month,day,year
7/11/2019 15:35,Thur,23800,,1,,,1,,,3,,,,,,,,,,,,,1,,,,7/11/2019,3:35:00,PM,7,11,2019
7/11/2019 16:10,Thur,15800,,1,,,,,,1,,,,,,,,,,,1,,,,,,7/11/2019,4:10:00,PM,7,11,2019
7/12/2019 11:49,Fri,58000,,,,,,,,14,,,,,,,,,,,,,,,,,7/12/2019,11:49:00,AM,7,12,2019
7/13/2019 13:19,Sat,14800,,1,1,,,,,,,,,,,,,,,,,,1,,,,7/13/2019,1:19:00,PM,7,13,2019
7/13/2019 13:22,Sat,15600,,2,,,,,,1,,,,,,,,,,,,,,,,,7/13/2019,1:22:00,PM,7,13,2019
7/13/2019 14:54,Sat,15800,,1,,,,,,,,,,,,1,,,,,,,1,,,,7/13/2019,2:54:00,PM,7,13,2019
7/13/2019 15:08,Sat,15800,,1,,,,,,,,,,,,,,,,,1,,1,,,,7/13/2019,3:08:00,PM,7,13,2019
7/13/2019 15:09,Sat,14000,,,,,,,,2,1,,,,,,,,,,,,,,,,7/13/2019,3:09:00,PM,7,13,2019
7/13/2019 15:23,Sat,19100,,2,1,,,,,1,,,,,,,,,,,,,,,,,7/13/2019,3:23:00,PM,7,13,2019
7/13/2019 16:32,Sat,22300,,1,1,,,,,1,1,,,,,,,,,,,,,,,,7/13/2019,4:32:00,PM,7,13,2019
7/14/2019 11:08,Sun,15300,,1,,,,,,1,,,,,,,,,,,,,1,,,,7/14/2019,11:08:00,AM,7,14,2019
7/14/2019 11:15,Sun,27600,,2,,,3,,,1,,,,,,,,,,,,,,,,,7/14/2019,11:15:00,AM,7,14,2019
7/14/2019 11:44,Sun,26300,,1,,,,,,2,2,,,,,,,,,,,,1,,,,7/14/2019,11:44:00,AM,7,14,2019
7/14/2019 11:59,Sun,19800,,1,,,,,,1,,,,,,,,,,,1,,1,,,,7/14/2019,11:59:00,AM,7,14,2019
7/14/2019 12:59,Sun,18300,,1,,,,,,,1,,,,,,,,,,1,,,,,,7/14/2019,12:59:00,PM,7,14,2019
7/14/2019 13:05,Sun,15600,,2,,,,,,1,,,,,,,,,,,,,,,,,7/14/2019,1:05:00,PM,7,14,2019
7/14/2019 14:06,Sun,23600,,2,,,,,,1,1,,,,,,,,,,1,,,,,,7/14/2019,2:06:00,PM,7,14,2019
7/14/2019 14:41,Sun,20100,,2,,,,,,1,,,,,,,,,,,,,1,,,,7/14/2019,2:41:00,PM,7,14,2019
7/14/2019 14:51,Sun,25600,,2,,1,,,1,,,,,,,,,,,,1,,,,,,7/14/2019,2:51:00,PM,7,14,2019
7/14/2019 15:02,Sun,19800,,1,,,,,,1,,,,,,,,,,,1,,1,,,,7/14/2019,3:02:00,PM,7,14,2019
7/15/2019 11:45,Mon,15100,,2,,,,,,,1,,,,,,,,,,,,,,,,7/15/2019,11:45:00,AM,7,15,2019
7/15/2019 16:21,Mon,15800,,1,,,,,,1,,,,,,,,,,1,,,,,,,7/15/2019,4:21:00,PM,7,15,2019
7/17/2019 11:47,Wed,17800,,1,1,,,,,1,,,,,,,,,,,,,,,,,7/17/2019,11:47:00,AM,7,17,2019
7/17/2019 13:23,Wed,14800,,3,,,,1,,,,1,,,,,,,,,,,,,,,7/17/2019,1:23:00,PM,7,17,2019
7/17/2019 14:16,Wed,23400,,1,,2,,,,,,,,,,,1,,,,1,,,,,,7/17/2019,2:16:00,PM,7,17,2019
7/17/2019 16:32,Wed,18100,,1,1,,,,,,,,,,,,,,,,,,,1,,,7/17/2019,4:32:00,PM,7,17,2019
7/19/2019 11:43,Fri,14800,,1,,,,1,,1,,1,,,,,,,,,,,,,,,7/19/2019,11:43:00,AM,7,19,2019
7/19/2019 12:11,Fri,15800,,1,,,,,,,,,,,,,,,,,1,,,1,,,7/19/2019,12:11:00,PM,7,19,2019
7/19/2019 12:36,Fri,21800,,1,,,,1,,2,,1,,,,,,,,,,,,,,,7/19/2019,12:36:00,PM,7,19,2019
7/19/2019 12:44,Fri,20600,,2,,,,,,1,,,,,,,,,,,1,,,,,,7/19/2019,12:44:00,PM,7,19,2019
7/19/2019 13:35,Fri,14800,,1,,,,1,,1,,,,,,,,,,,,,,,,,7/19/2019,1:35:00,PM,7,19,2019
7/19/2019 13:50,Fri,15100,,2,,,,,,,,1,,,,,,,,,,,,,,,7/19/2019,1:50:00,PM,7,19,2019
7/19/2019 14:12,Fri,58000,,,,,,16,,,,,,,,,,,,,,,,,,,7/19/2019,2:12:00,PM,7,19,2019
7/19/2019 15:33,Fri,35900,,3,,,,3,,2,,,,,,,,,,,,,,,,,7/19/2019,3:33:00,PM,7,19,2019
7/20/2019 11:19,Sat,15800,,1,,,,,,,,,,,,1,,,,,1,,,,,,7/20/2019,11:19:00,AM,7,20,2019
7/20/2019 11:35,Sat,18800,,1,,,1,1,1,,,,,,,,,,,,,,,,,,7/20/2019,11:35:00,AM,7,20,2019
7/20/2019 11:40,Sat,22800,,1,,1,,,,1,,1,,,,,1,,,,,,,,1,,7/20/2019,11:40:00,AM,7,20,2019
7/20/2019 11:44,Sat,16400,,3,,,,,,,,,,,,,,,,,,,,,,,7/20/2019,11:44:00,AM,7,20,2019
7/20/2019 12:08,Sat,15800,,1,,,,,,,,,,,,,,1,,,,,,,1,,7/20/2019,12:08:00,PM,7,20,2019
7/20/2019 12:13,Sat,26300,,1,,,,,1,,,1,,,,,,,,,1,1,,,1,,7/20/2019,12:13:00,PM,7,20,2019
7/20/2019 12:31,Sat,14800,,1,,,,,1,,,1,,,,,,,,,,,,,,,7/20/2019,12:31:00,PM,7,20,2019
7/20/2019 12:55,Sat,15800,,1,,,,,,1,,,,,,,,,,,1,,,,,,7/20/2019,12:55:00,PM,7,20,2019
7/20/2019 13:19,Sat,20500,,,,,,2,,1,,2,,,,,,,,,,,,,,,7/20/2019,1:19:00,PM,7,20,2019
7/20/2019 13:44,Sat,18600,,2,,,,1,,,,1,,,,,,,,,,,,,,,7/20/2019,1:44:00,PM,7,20,2019
7/20/2019 13:56,Sat,17800,,1,,,1,1,,,,1,,,,,,,,,,,,,,,7/20/2019,1:56:00,PM,7,20,2019
7/21/2019 11:07,Sun,18600,,1,,,,1,,,,,,,,,1,,,,,,,,1,,7/21/2019,11:07:00,AM,7,21,2019
7/21/2019 11:42,Sun,17300,,1,1,,,1,,,,1,,,,,,,,,,,,,,,7/21/2019,11:42:00,AM,7,21,2019
7/21/2019 12:12,Sun,17800,,1,,,1,,,,,,,,,,,,,,1,1,,,,,7/21/2019,12:12:00,PM,7,21,2019
7/21/2019 12:25,Sun,14800,,1,,,,,1,,,1,,,,,,,,,,,,,,,7/21/2019,12:25:00,PM,7,21,2019
7/21/2019 12:29,Sun,16100,,2,,,,,,,,,,,,,,,,,1,,,,,,7/21/2019,12:29:00,PM,7,21,2019
7/21/2019 12:47,Sun,21000,,,1,,,1,,1,,1,,,,,,,,,1,,,,,,7/21/2019,12:47:00,PM,7,21,2019
7/21/2019 13:37,Sun,19300,,1,,,,1,,,,,,,,2,,,,,,,,,,,7/21/2019,1:37:00,PM,7,21,2019
7/21/2019 13:45,Sun,22300,,1,,,2,1,,1,,,,,,,,,,,,,,,,,7/21/2019,1:45:00,PM,7,21,2019
7/21/2019 14:05,Sun,18300,,1,1,,,1,,,,,,,,,,,,,,,1,,,,7/21/2019,2:05:00,PM,7,21,2019
7/21/2019 14:53,Sun,15300,,1,1,1,,1,,,,,,,,,,,,,,,,,,,7/21/2019,2:53:00,PM,7,21,2019
7/21/2019 15:21,Sun,15100,,1,,,,,,,,,1,,,,1,,,,,,,,,,7/21/2019,3:21:00,PM,7,21,2019
7/22/2019 11:38,Mon,15600,,2,,,1,,,,,,,,,,,,,,,,,,,,7/22/2019,11:38:00,AM,7,22,2019
7/22/2019 12:16,Mon,19300,,1,,,,1,,,,,,,,1,,,,,1,,,,,,7/22/2019,12:16:00,PM,7,22,2019
7/22/2019 12:24,Mon,18300,,1,,,,1,,,,1,,,,,,,,,1,,,,,,7/22/2019,12:24:00,PM,7,22,2019
7/22/2019 12:41,Mon,18300,,1,,,,2,,1,,,,,,,,,,,,,,,,,7/22/2019,12:41:00,PM,7,22,2019
7/22/2019 13:28,Mon,16600,,2,,,,,,,,2,,,,,,,,,,,,,,,7/22/2019,1:28:00,PM,7,22,2019
7/22/2019 13:44,Mon,14800,,1,,,,,,,,1,,,,,,1,,,,,,,,,7/22/2019,1:44:00,PM,7,22,2019
